Date,MAC,ShotInterval,BackstrokePause,Jab,FollowThrough,TipSteer,TipSteerDir,Straightness,Finesse,Finish,ImpactX,ImpactY
2019-06-11 18:08:11.883000,886B0F61A979,23.55,0.07,10.00,7.00,5.00,R,0.00,8.83,1.81,74.21,-64.01
2019-06-11 18:08:36.699000,886B0F61A979,27.65,0.67,10.00,8.00,5.00,R,0.00,7.17,0.62,46.67,-46.67
2019-06-12 15:38:29.095000,886B0F61A979,3.58,0.17,10.00,9.00,8.00,R,0.60,5.50,0.71,17.99,-43.42
2019-06-12 15:38:37.632000,886B0F61A979,7.68,0.67,10.00,4.00,6.00,R,3.40,5.83,0.61,20.93,-25.51
2019-06-12 15:38:41.826000,886B0F61A979,2.05,0.11,10.00,9.00,5.00,L,0.40,6.17,0.83,-35.57,-32.23
2019-06-12 15:38:47.220000,886B0F61A979,3.58,0.23,10.00,9.00,10.00,C,8.40,6.50,0.79,5.08,-6.18
2019-06-12 15:56:07.499000,886B0F61A979,16.38,0.17,10.00,9.00,5.00,R,3.00,5.50,1.02,25.35,-24.13
2019-06-12 15:56:44.012000,886B0F61A979,41.98,0.20,10.00,3.00,1.00,R,2.00,6.50,1.08,39.70,-4.90
2019-06-12 15:56:54.756000,886B0F61A979,6.14,0.16,10.00,4.00,10.00,C,8.40,5.33,1.03,3.24,-7.31
2019-06-12 16:18:35.047000,886B0F61A979,7.68,0.11,10.00,9.00,7.00,R,6.60,6.33,0.62,7.27,-15.37
2019-06-12 16:18:48.828000,886B0F61A979,14.34,1.00,10.00,3.00,10.00,C,9.20,4.33,1.34,-2.46,3.15
2019-06-12 16:19:11.086000,886B0F61A979,5.63,0.13,10.00,4.00,7.00,R,2.80,6.17,0.91,16.19,-32.16
2019-06-12 16:19:22.383000,886B0F61A979,2.56,0.06,10.00,10.00,10.00,C,8.60,6.00,0.84,6.97,-0.69
2019-06-12 16:19:31.984000,886B0F61A979,8.70,0.67,10.00,8.00,7.00,L,3.80,5.83,0.70,-13.94,-27.69
2019-06-12 16:19:41.632000,886B0F61A979,8.70,0.68,10.00,10.00,3.00,L,4.40,6.33,1.97,-25.31,-11.97
2019-06-12 16:19:53.381000,886B0F61A979,11.26,0.34,10.00,5.00,7.00,R,3.40,5.00,1.78,16.97,-28.31
2019-06-12 16:20:17.179000,886B0F61A979,2.56,0.17,10.00,9.00,3.00,L,7.80,6.17,0.86,-10.36,3.71
2019-06-12 16:21:20.895000,886B0F61A979,5.63,0.34,10.00,3.00,1.00,L,6.60,6.33,0.68,-16.95,1.25
2019-06-12 16:21:58.161000,886B0F61A979,6.14,0.17,10.00,3.00,1.00,R,2.20,5.17,1.02,38.71,4.77
2019-06-12 17:45:12.933000,886B0F61A979,39.94,0.06,10.00,10.00,1.00,L,0.20,5.17,1.26,-48.63,-6.00
2019-06-12 19:16:21.319000,886B0F61A979,29.70,0.67,10.00,9.00,1.00,R,1.60,6.00,2.02,41.89,-3.09
2019-06-12 19:20:41.917000,886B0F61A979,24.06,0.67,10.00,5.00,1.00,R,4.20,6.67,1.54,28.78,-3.55
2019-06-12 19:23:29.587000,886B0F61A979,8.19,0.67,10.00,4.00,7.00,R,0.00,5.17,1.10,29.08,-51.34
2019-06-12 19:27:20.999000,886B0F61A979,9.22,0.12,10.00,3.00,9.00,R,0.80,5.83,1.21,7.86,-45.32
2019-06-12 19:33:01.089000,886B0F61A979,15.36,0.67,10.00,9.00,8.00,R,0.40,5.83,1.81,17.27,-44.78
2019-06-12 19:35:46.341000,886B0F61A979,19.97,0.67,10.00,4.00,2.00,R,7.40,5.17,1.80,12.68,-2.85
2019-06-12 20:05:21.170000,886B0F61A979,33.79,0.06,10.00,10.00,9.00,L,0.00,3.50,0.89,-8.72,-50.25
2019-06-12 20:14:52.910000,886B0F61A979,22.02,0.08,10.00,10.00,2.00,L,0.00,4.00,0.77,-123.45,-37.45
